,CompanyName,Location,Experience,Skills,Job Description,Posted Date
0,AxionConnect Infosolutions Pvt. Ltd.,"Navi Mumbai, Mumbai",0 - 3 yrs,"predictive modeling, data scientist",Key Responsibilities:Should have strong hands-on experience in statistical / Predictive Modeling.Should have strong hands-on experience in Data Preparation.Python experience i... More Details,Posted 2 days ago
1,APPLYCUP HIRING SOLUTIONS LLP,Pune,2 - 5 yrs,"Data Scientist, startup environment, algorithms","Data ScientistBE , Btech , BSC Computer / IT , MSC , MCA , any graduate , Experience : 2 - 4 YearsSkills : algorithms.-Should have worked in the industry f... More Details",Posted few days ago
2,Blackhawk Network,Bengaluru / Bangalore,7 - 10 yrs,"Data Scientist, data mining, machine learning","You will build large scale data lake that collect , processes and transforms the data into valuable business insights. You will tame all facets of big data at a Global scale ... More Details",Posted few days ago
3,RedLotus,Mumbai,0 - 3 yrs,"data scientist, statistical modeling, data visualization",Responsibilities: Undertake preprocessing of structured and unstructured data.Build data products to extract valuable business insightsBuild models to address business problem... More Details,Posted few days ago
4,Datagrid Solutions,Mumbai,5 - 6 yrs,"data analysis, linear regression, ensemble, tableau, data science, data scientist, data visualization",Analyze large amounts of information to discover trends and patternsBuild predictive models and machine-learning algorithms.combine models through ensemble modellingPresent in... More Details,Posted 6 days ago
5,fiserv ce pvt ltd,,5 - 8 yrs,"business solutions, sql, data scientist, advanced analytics, data analytics, sas, predictive modeling","We'll help you to: Become a key enabler to develop data driven capabilities and implement automated decisions using existing and new data , advanced analytics and ML based pr... More Details",Posted 6 days ago
6,APPLYCUP HIRING SOLUTIONS LLP,Mumbai,4 - 7 yrs,"visualization, sas, regression analysis, business analytics, dashboards, sql, tableau, java, data science, data scientist, unix / linux","Data ScientistMumbai , MaharashtraSkills : SQL , SAS , R , Python , JavaJob Description :-Work with a team of high performing data science professionals ,... More Details",Posted few days ago
7,Merkle Inc.,,0 - 3 yrs,"business requirements, bi, database, data science, data scientist, crm, mobile, business analytics, tableau","The purpose of this role is to support business requirements analysis , develop insights from various data assets , develop statistical models and contribute... More Details",Posted few days ago
8,Efftronics Systems Pvt Ltd,Vijayawada,5 - 8 yrs,"c , data analysis, business requirements, data mining, java, predictive modeling, data scientist, statistical analysis, design thinking, predictive analysis","Data ScientistQualification B-Tech , M-Tech ( Any Branch ) Master's degree in Electronics / Computer Science / Applications / Mathematics & Statistics / PhysicsJob ... More Details",Posted few days ago
9,BizViz Technologies,"Hyderabad/Secunderabad, Bengaluru / Bangalore",3 - 6 yrs,"data mining, sql, data scientist, predictive analysis, advanced analytics, data analysis, sas, author, predictive analytics, algorithm development, statistical analysis","Data ScientistDescription BizViz provides a 360 degree view of a business's data , serving any vertical and meeting the demanding needs of all business executives. With a 50 ... More Details",Posted few days ago
10,axmiyan hr solutions private limited,Gurgaon,3 - 6 yrs,"time series analysis, linear regression, data science, data scientist, logistic regression, image processing, advanced analytics, factor analysis",Be an Individual Contributor in the Analytics Research and Development team and solve real-world problems using cutting-edge capabilities and emerging technologies. Be a part ... More Details,Posted few days ago
11,Vericle,Amritsar,2 - 5 yrs,"data mining, dashboards, database, data science, software packages, data scientist, data visualization, advanced analytics, ehr, data cleaning, written communication, statistical analysis","ResponsibilitiesUse data visualization tools to create charts , graphs , and embedded dashboards to communicate insights to stakeholders in a clear and concise manner.design... More Details",Posted few days ago
12,Vericle,Chandigarh,2 - 5 yrs,"data mining, dashboards, database, data science, software packages, data scientist, data visualization, advanced analytics, ehr, data cleaning, written communication, statistical analysis","ResponsibilitiesUse data visualization tools to create charts , graphs , and embedded dashboards to communicate insights to stakeholders in a clear and concise manner.design... More Details",Posted few days ago
13,Vericle,Gurgaon,2 - 5 yrs,"data mining, dashboards, database, data science, software packages, data scientist, data visualization, advanced analytics, ehr, data cleaning, written communication, statistical analysis","ResponsibilitiesUse data visualization tools to create charts , graphs , and embedded dashboards to communicate insights to stakeholders in a clear and concise manner.design... More Details",Posted few days ago
14,Vericle,Delhi,2 - 5 yrs,"data mining, dashboards, database, data science, software packages, data scientist, data visualization, advanced analytics, ehr, data cleaning, written communication, statistical analysis","ResponsibilitiesUse data visualization tools to create charts , graphs , and embedded dashboards to communicate insights to stakeholders in a clear and concise manner.design... More Details",Posted few days ago
15,Vericle,Noida/Greater Noida,2 - 5 yrs,"data mining, dashboards, database, data science, software packages, data scientist, data visualization, advanced analytics, ehr, data cleaning, written communication, statistical analysis","ResponsibilitiesUse data visualization tools to create charts , graphs , and embedded dashboards to communicate insights to stakeholders in a clear and concise manner.design... More Details",Posted few days ago
16,Triadss Tech Solutions,Noida/Greater Noida,3 - 6 yrs,"time series analysis, visualization, data mining, bi, ensemble, data science, advanced excel, data scientist, statistical modeling, data visualization, logistic regression, cluster analysis, mining","Educational Qualifications: Graduate or Postgraduate in Economics , Statistics , Mathematics , or a related field full time.Experience: 3 yearsSkill Required:Data Science ... More Details",Posted 2 days ago
17,Paytm,Canada,2 - 5 yrs,"fundamentals, algorithms, scala, data mining, artificial intelligence, sql, games, data structures, big data, python, machine learning","We are looking for a Data Scientist to work on developing large-scale big-data machine learning & solution automation toolkits and libraries. In this role , you will work w... More Details",Posted 6 days ago
18,covalense global,Bengaluru / Bangalore,7 - 10 yrs,"algorithms, data mining, sql, big data, python, machine learning","Job Type: Full TimeYears of Experience: 7 yearsExperience in AI & MLAdvanced degree in an analytical field ( e.g. , Data Science , Computer Science , En... More Details",Posted 2 days ago
19,string bio pvt. ltd,Bengaluru / Bangalore,2 - 5 yrs,"algorithms, c , data mining, sql, python",Position: FulltimeWe are looking for a Data Scientist to analyse large amounts of raw information and automate controls and collection processes. The employee will be part of ... More Details,Posted few days ago
20,TandA HR Solutions,Gurgaon,1 - 4 yrs,"hive, algorithms, data mining, pig, data structures, hadoop, big data, python, sas, oozie, machine learning","Data Scientists will work close to the problem domain. Data Scientist understands the problem , analyzespossible solutions , select most suitable solution or set of solution... More Details",Posted few days ago
21,FamPay Inc,"Roorkee, Bengaluru / Bangalore",3 - 6 yrs,"algorithms, python, data mining, sql",On the Job Identify value in the data we haveUndertake preprocessing of structured and unstructured dataAnalyze large amounts of information to discover trends and patternsBui... More Details,Posted few days ago
